timestamp,room,bssid,ssid,rssi
1765111882,G029,c4:16:c8:12:47:60,SABANCIUNIV,35
1765111882,G029,c4:16:c8:11:c0:b0,SABANCIUNIV,16
1765111882,G029,c4:16:c8:12:5b:d0,SABANCIUNIV,57
1765111882,G029,c4:16:c8:11:e2:70,SABANCIUNIV,43
1765111882,G029,c4:16:c8:11:cf:00,SABANCIUNIV,43
1765111882,G029,c4:16:c8:12:5b:c0,SABANCIUNIV,75
1765111882,G029,c4:16:c8:12:51:e0,SABANCIUNIV,26
1765111882,G029,c4:16:c8:11:d4:a0,SABANCIUNIV,86
1765111882,G029,c4:16:c8:12:28:b0,SABANCIUNIV,16
1765111882,G029,c4:16:c8:12:5a:a0,SABANCIUNIV,35
1765111882,G029,c4:16:c8:12:47:70,SABANCIUNIV,33
1765111882,G029,d8:0a:60:cd:03:30,SABANCIUNIV,31
1765111882,G029,c4:16:c8:12:5a:b0,SABANCIUNIV,31
1765111882,G029,c4:16:c8:11:e1:d0,SABANCIUNIV,24
1765111882,G029,c4:16:c8:11:d4:b0,SABANCIUNIV,85
1765111882,G029,d8:0a:60:cd:02:e0,SABANCIUNIV,40
1765111882,G029,c4:16:c8:12:51:f0,SABANCIUNIV,72
1765111882,G029,c4:16:c8:12:08:93,SU-IoT,81
1765111882,G029,c4:16:c8:11:d4:a3,SU-IoT,84
1765111882,G029,c4:16:c8:12:47:63,SU-IoT,20
1765111882,G029,c4:16:c8:12:08:83,SU-IoT,38
1765111882,G029,c4:16:c8:12:6a:63,SU-IoT,20
1765111882,G029,c4:16:c8:11:e2:63,SU-IoT,22
1765111882,G029,c4:16:c8:12:58:83,SU-IoT,33
1765111882,G029,c4:16:c8:11:d4:b3,SU-IoT,85
1765111882,G029,c4:16:c8:11:e1:c3,SU-IoT,29
1765111882,G029,c4:16:c8:11:f8:23,SU-IoT,81
1765111882,G029,c4:16:c8:11:bf:b3,SU-IoT,38
1765111882,G029,d8:0a:60:cd:02:e3,SU-IoT,82
1765111882,G029,c4:16:c8:12:5b:c3,SU-IoT,65
1765111882,G029,c4:16:c8:11:f3:43,SU-IoT,35
1765111882,G029,c4:16:c8:12:28:a3,SU-IoT,31
1765111882,G029,c4:16:c8:11:ce:93,SU-IoT,24
1765111882,G029,c4:16:c8:11:e1:d3,SU-IoT,18
1765111882,G029,c4:16:c8:11:c1:73,SU-IoT,22
1765111882,G029,c4:16:c8:12:51:f3,SU-IoT,57
1765111882,G029,c4:16:c8:12:51:e3,SU-IoT,22
1765111882,G029,c4:16:c8:12:47:73,SU-IoT,62
1765111882,G029,c4:16:c8:12:69:33,SU-IoT,14
1765111882,G029,d8:0a:60:cd:02:d3,SU-IoT,29
1765111882,G029,c4:16:c8:12:28:a2,eduroam,35
1765111882,G029,c4:16:c8:12:08:92,eduroam,81
1765111882,G029,c4:16:c8:11:f8:22,eduroam,80
1765111882,G029,c4:16:c8:12:47:62,eduroam,18
1765111882,G029,c4:16:c8:11:e2:62,eduroam,24
1765111882,G029,c4:16:c8:12:6a:62,eduroam,18
1765111882,G029,c4:16:c8:12:58:82,eduroam,31
1765111882,G029,c4:16:c8:11:c0:b2,eduroam,16
1765111882,G029,c4:16:c8:11:f3:42,eduroam,29
1765111882,G029,c4:16:c8:11:d4:a2,eduroam,83
1765111882,G029,c4:16:c8:12:28:b2,eduroam,14
1765111882,G029,c4:16:c8:11:bf:b2,eduroam,38
1765111882,G029,c4:16:c8:12:5b:c2,eduroam,60
1765111882,G029,c4:16:c8:12:51:f2,eduroam,67
1765111882,G029,d8:0a:60:cd:03:32,eduroam,31
1765111882,G029,c4:16:c8:12:47:72,eduroam,40
1765111882,G029,c4:16:c8:12:51:e2,eduroam,43
1765111882,G029,c4:16:c8:12:08:82,eduroam,24
1765111882,G029,c4:16:c8:12:47:71,SUGuest,46
1765111882,G029,c4:16:c8:11:f8:21,SUGuest,80
1765111882,G029,d8:0a:60:cd:02:d1,SUGuest,29
1765111882,G029,c4:16:c8:12:28:a1,SUGuest,26
1765111882,G029,c4:16:c8:11:d4:a1,SUGuest,86
1765111882,G029,c4:16:c8:11:e2:71,SUGuest,62
1765111882,G029,c4:16:c8:11:c1:71,SUGuest,33
1765111882,G029,c4:16:c8:11:e2:61,SUGuest,26
1765111882,G029,c4:16:c8:12:5b:d1,SUGuest,22
1765111882,G029,c4:16:c8:12:47:61,SUGuest,20
1765111882,G029,c4:16:c8:12:62:b1,SUGuest,14
1765111882,G029,c4:16:c8:11:c0:b1,SUGuest,14
1765111882,G029,c4:16:c8:11:35:a1,SUGuest,26
1765111882,G029,d8:0a:60:cd:02:e1,SUGuest,35
1765111882,G029,c4:16:c8:12:58:81,SUGuest,38
1765111882,G029,c4:16:c8:12:51:f1,SUGuest,67
1765111882,G029,c4:16:c8:12:51:e1,SUGuest,26
1765111882,G029,c4:16:c8:12:08:81,SUGuest,53
1765111883,G029,c4:16:c8:12:62:b0,SABANCIUNIV,13
1765111883,G029,c4:16:c8:11:bf:b0,SABANCIUNIV,35
1765111883,G029,c4:16:c8:12:58:80,SABANCIUNIV,33
1765111883,G029,c4:16:c8:12:28:a0,SABANCIUNIV,33
1765111883,G029,c4:16:c8:11:f8:20,SABANCIUNIV,65
1765111883,G029,d8:0a:60:cd:02:d0,SABANCIUNIV,43
1765111883,G029,d8:0a:60:cd:03:50,SABANCIUNIV,22
1765111883,G029,d8:0a:60:cd:02:f0,SABANCIUNIV,31
1765111883,G029,c4:16:c8:12:08:80,SABANCIUNIV,43
1765111883,G029,c4:16:c8:12:08:90,SABANCIUNIV,29
1765111883,G029,c4:16:c8:11:e1:c0,SABANCIUNIV,22
1765111883,G029,c4:16:c8:11:c1:70,SABANCIUNIV,22
1765111883,G029,c4:16:c8:11:e2:60,SABANCIUNIV,35
1765111883,G029,c4:16:c8:11:ce:90,SABANCIUNIV,22
1765111883,G029,c4:16:c8:11:f3:40,SABANCIUNIV,26
1765111883,G029,c4:16:c8:11:f3:50,SABANCIUNIV,22
1765111883,G029,c4:16:c8:12:47:60,SABANCIUNIV,35
1765111883,G029,c4:16:c8:11:c0:b0,SABANCIUNIV,16
1765111883,G029,c4:16:c8:12:5b:d0,SABANCIUNIV,40
1765111883,G029,c4:16:c8:11:e2:70,SABANCIUNIV,43
1765111883,G029,c4:16:c8:11:cf:00,SABANCIUNIV,43
1765111883,G029,c4:16:c8:12:5b:c0,SABANCIUNIV,75
1765111883,G029,c4:16:c8:12:51:e0,SABANCIUNIV,26
1765111883,G029,c4:16:c8:11:d4:a0,SABANCIUNIV,86
1765111883,G029,c4:16:c8:12:28:b0,SABANCIUNIV,16
1765111883,G029,c4:16:c8:12:5a:a0,SABANCIUNIV,35
1765111883,G029,c4:16:c8:12:47:70,SABANCIUNIV,24
1765111883,G029,d8:0a:60:cd:03:30,SABANCIUNIV,31
1765111883,G029,c4:16:c8:12:5a:b0,SABANCIUNIV,31
1765111883,G029,c4:16:c8:11:e1:d0,SABANCIUNIV,24
1765111883,G029,c4:16:c8:11:d4:b0,SABANCIUNIV,91
1765111883,G029,d8:0a:60:cd:02:e0,SABANCIUNIV,33
1765111883,G029,c4:16:c8:12:51:f0,SABANCIUNIV,72
1765111883,G029,c4:16:c8:12:08:93,SU-IoT,81
1765111883,G029,c4:16:c8:11:d4:a3,SU-IoT,84
1765111883,G029,c4:16:c8:12:47:63,SU-IoT,20
1765111883,G029,c4:16:c8:12:08:83,SU-IoT,38
1765111883,G029,c4:16:c8:12:6a:63,SU-IoT,20
1765111883,G029,c4:16:c8:11:e2:63,SU-IoT,22
1765111883,G029,c4:16:c8:12:58:83,SU-IoT,33
1765111883,G029,c4:16:c8:11:d4:b3,SU-IoT,85
1765111883,G029,c4:16:c8:11:e1:c3,SU-IoT,29
1765111883,G029,c4:16:c8:11:f8:23,SU-IoT,81
1765111883,G029,c4:16:c8:11:bf:b3,SU-IoT,38
1765111883,G029,d8:0a:60:cd:02:e3,SU-IoT,82
1765111883,G029,c4:16:c8:12:5b:c3,SU-IoT,65
1765111883,G029,c4:16:c8:11:f3:43,SU-IoT,35
1765111883,G029,c4:16:c8:12:28:a3,SU-IoT,31
1765111883,G029,c4:16:c8:11:ce:93,SU-IoT,24
1765111883,G029,c4:16:c8:11:e1:d3,SU-IoT,18
1765111883,G029,c4:16:c8:11:c1:73,SU-IoT,22
1765111883,G029,c4:16:c8:12:51:f3,SU-IoT,57
1765111883,G029,c4:16:c8:12:51:e3,SU-IoT,22
